Latitude,Longitude,Mosquito_collection_year_end,IR_Test_%mortality
12.360281,9.987325,2017,31
12.360281,9.987325,2017,40
12.360293,9.978477,2017,20
12.360293,9.978477,2017,35
14.623843,36.355434,2017,99
14.838585,34.68565,2017,98
14.623843,36.355434,2017,95
14.838585,34.68565,2017,96
-3.532187,37.428649,2017,28.8
-3.532187,37.428649,2017,29
5.962333,-4.810595,2016,25
5.402989,-4.317603,2016,4.4
7.773734,37.227642,2016,8
9.476646,38.771801,2016,52
7.945374,38.930183,2016,76
9.221985,42.329872,2016,22
12.954462,36.157256,2016,99
11.574209,37.361353,2016,81
12.41967,39.553591,2016,50
14.280255,36.617519,2016,39
9.328875,40.18109,2016,53
7.897618,34.538992,2016,33
6.020763,37.564139,2016,41
7.773734,37.227642,2016,5
9.476646,38.771801,2016,54
7.945374,38.930183,2016,57
9.221985,42.329872,2016,16
12.954462,36.157256,2016,90
11.574209,37.361353,2016,79
12.41967,39.553591,2016,27
14.280255,36.617519,2016,69
9.328875,40.18109,2016,71
7.897618,34.538992,2016,20
6.020763,37.564139,2016,84
6.677322,-1.583848,2016,31
6.677322,-1.583848,2016,47
6.677322,-1.583848,2016,15
6.677322,-1.583848,2016,26
5.78043,0.618048,2016,4.1
6.1,0.9166,2016,43.4
6.086857,0.121389,2016,8.6
7.383331,-1.366666,2016,41.3
10.45105,-1.305951,2016,49.4
5.300029,-0.739683,2016,20
6,-0.833299,2016,13.5
6.938276,-2.38899,2016,70.3
6.616667,-1.216667,2016,1.1
7.733311,-0.683353,2016,36.9
8.2,0.5186,2016,47.1
5.500001,-1.916594,2016,13.6
9.283333,-2.416667,2016,7.3
6.2,-2.485,2016,30.6
10.883297,-1.983358,2016,4.6
5.699999,-1.549999,2016,13.7
9.833333,-2.683333,2016,34.5
5.6,-0.333333,2016,8.3
8.65,0.016646,2016,0
10.916667,-0.516667,2016,21.4
5.78043,0.618048,2016,19.4
6.1,0.9166,2016,31.3
6.086857,0.121389,2016,31.1
7.383331,-1.366666,2016,95
10.45105,-1.305951,2016,17.8
5.300029,-0.739683,2016,1.2
6,-0.833299,2016,1.2
6.938276,-2.38899,2016,63.2
6.616667,-1.216667,2016,13.3
7.733311,-0.683353,2016,13.4
8.2,0.5186,2016,17.1
5.500001,-1.916594,2016,27.2
9.283333,-2.416667,2016,5.3
6.2,-2.485,2016,11.8
10.883297,-1.983358,2016,12.2
5.699999,-1.549999,2016,5.6
9.833333,-2.683333,2016,10.3
5.6,-0.333333,2016,5.1
8.65,0.016646,2016,3.4
10.916667,-0.516667,2016,8.5
5.929556,-0.972509,2016,6.6
5.929556,-0.972509,2016,4
5.929556,-0.972509,2016,6.3
5.929556,-0.972509,2016,2
-0.72861,34.36472,2016,61
-0.76666,34.6,2016,69
-0.3138,34.2725,2016,72
-0.76666,34.6,2016,73
-0.72861,34.36472,2016,73
-0.951823,34.512917,2016,75
-0.3138,34.2725,2016,75
-0.951823,34.512917,2016,85
0.01118,34.110645,2016,28.9
-0.128,34.012,2016,74
0.518991667,34.24447833,2016,23.5
0.620475,34.241442,2016,53
-0.348348,34.790085,2016,63
