,Latitude,Longitude,Mosquito_collection_year_end,IR_Test_.mortality,AFR_PPP_2015_adj_v2,X2015_-1ture_Africa_ITN.2015,X2015_-1ture_Africa_PfPR.2015,layer,cells,AFR_PPP_2015_adj_v2.1,X2015_-1ture_Africa_ITN.2015.1,X2015_-1ture_Africa_PfPR.2015.1,layer.1
634,17.57069,-3.99617,2015,19,0,0.695617491,-1,-1,805536,0,0.695617491,-1,-1
638,17.57069,-3.99617,2015,41,0,0.695617491,-1,-1,805536,0,0.695617491,-1,-1
1321,17.57069,-3.99617,2014,21,0,0.695617491,-1,-1,805536,0,0.695617491,-1,-1
1328,17.57069,-3.99617,2014,40,0,0.695617491,-1,-1,805536,0,0.695617491,-1,-1
737,16.4613,-15.68757,2015,23,19648.0625,0.673418211,0.016048176,1,848961,19648.06256,0.673418211,0.016048176,1
740,16.4613,-15.68757,2015,100,19648.0625,0.673418211,0.016048176,1,848961,19648.06256,0.673418211,0.016048176,1
769,16.4613,-15.68757,2015,78,19648.0625,0.673418211,0.016048176,1,848961,19648.06256,0.673418211,0.016048176,1
1383,16.4613,-15.68757,2014,91.4,19648.0625,0.673418211,0.016048176,1,848961,19648.06256,0.673418211,0.016048176,1
1384,16.4613,-15.68757,2014,97.2,19648.0625,0.673418211,0.016048176,1,848961,19648.06256,0.673418211,0.016048176,1
1385,16.4613,-15.68757,2014,94.7,19648.0625,0.673418211,0.016048176,1,848961,19648.06256,0.673418211,0.016048176,1
1424,16.4613,-15.68757,2014,78.2,19648.0625,0.673418211,0.016048176,1,848961,19648.06256,0.673418211,0.016048176,1
2410,16.4613,-15.68757,2013,94,19648.0625,0.673418211,0.016048176,1,848961,19648.06256,0.673418211,0.016048176,1
2430,16.4613,-15.68757,2013,69.5,19648.0625,0.673418211,0.016048176,1,848961,19648.06256,0.673418211,0.016048176,1
2437,16.4613,-15.68757,2013,71.7,19648.0625,0.673418211,0.016048176,1,848961,19648.06256,0.673418211,0.016048176,1
2439,16.4613,-15.68757,2013,72,19648.0625,0.673418211,0.016048176,1,848961,19648.06256,0.673418211,0.016048176,1
2453,16.4613,-15.68757,2013,79,19648.0625,0.673418211,0.016048176,1,848961,19648.06256,0.673418211,0.016048176,1
2455,16.4613,-15.68757,2013,79.4,19648.0625,0.673418211,0.016048176,1,848961,19648.06256,0.673418211,0.016048176,1
2471,16.4613,-15.68757,2013,94.3,19648.0625,0.673418211,0.016048176,1,848961,19648.06256,0.673418211,0.016048176,1
2472,16.4613,-15.68757,2013,88.3,19648.0625,0.673418211,0.016048176,1,848961,19648.06256,0.673418211,0.016048176,1
2479,15.961622,32.565553,2013,43,30620.80273,0.177435072,0.007557629,1,870291,30620.80311,0.177435072,0.007557629,1
2495,15.884154,32.5351038,2013,89,59766.08594,0.178228492,0.006523483,1,873652,59766.08603,0.178228492,0.006523483,1
2492,15.6609568,32.5238008,2013,90,38897.99219,0.010953201,0.006118635,1,883738,38897.99249,0.010953201,0.006118635,1
2491,15.5724428,32.5090598,2013,92,67961.21875,0.013336313,0.006140253,1,887100,67961.21623,0.013336313,0.006140253,1
2488,15.547999,32.5663138,2013,100,83201.88281,0.01911093,0.006975772,1,887101,83201.87957,0.01911093,0.006975772,1
2489,15.547999,32.5663138,2013,100,83201.88281,0.01911093,0.006975772,1,887101,83201.87957,0.01911093,0.006975772,1
2490,15.547999,32.5663138,2013,100,83201.88281,0.01911093,0.006975772,1,887101,83201.87957,0.01911093,0.006975772,1
2485,15.520265,32.680973,2013,95,32402.10352,0.147415372,0.00877711,1,888785,32402.10434,0.147415372,0.00877711,1
2486,15.520265,32.680973,2013,97,32402.10352,0.147415372,0.00877711,1,888785,32402.10434,0.147415372,0.00877711,1
2487,15.520265,32.680973,2013,100,32402.10352,0.147415372,0.00877711,1,888785,32402.10434,0.147415372,0.00877711,1
2220,15.464294,6.2854,2013,72.97,12472.00195,0.421479059,0.156904265,2,889832,12472.0022,0.421479059,0.156904265,2
2226,15.464294,6.2854,2013,70.48,12472.00195,0.421479059,0.156904265,2,889832,12472.0022,0.421479059,0.156904265,2
